clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,car_occupied_long_term,motorcycle_occupied_long_term,bicycle_occupied_long_term,CPU_time(in second)
3,0,0,0,0,0,0,0,0,0,8,139,122,0,0,0,0,0,0,14,139,8,34,40,
4,0,0,0,0,0,0,0,0,0,8,139,122,0,0,0,0,0,0,14,139,8,34,40,
5,9,4,2,1,4,2,1,0,3,9,141,123,0,0,0,0,0,0,13,136,8,34,40,
6,35,0,7,0,18,0,4,0,6,16,159,127,0,0,0,0,0,0,6,116,8,34,40,
7,17,0,3,0,10,0,3,0,1,19,169,130,0,0,0,0,0,0,3,105,8,34,40,
8,32,13,8,4,14,6,6,3,4,18,177,133,5,0,0,0,0,0,4,95,8,34,40,
9,20,8,4,2,8,4,2,1,7,20,181,134,0,0,0,0,0,0,2,91,8,34,40,
10,9,4,2,1,4,2,1,0,3,21,183,135,0,0,0,0,0,0,1,88,8,34,40,
11,9,9,2,2,4,4,1,1,4,20,183,135,1,0,0,0,0,0,2,88,8,34,40,
12,4,4,1,1,1,2,0,0,3,20,182,135,0,0,0,0,0,0,2,89,8,34,40,
13,9,9,2,2,4,4,1,1,4,20,182,135,0,0,0,0,0,0,2,89,8,34,40,
14,16,16,3,5,8,8,2,3,3,17,182,134,1,0,0,0,0,0,5,90,8,34,40,
15,9,9,2,2,4,4,1,1,4,17,182,134,0,0,0,0,0,0,5,90,8,34,40,
16,11,11,2,2,4,4,1,1,8,17,182,134,0,0,0,0,0,0,5,90,8,34,40,
17,20,20,4,4,8,11,4,2,7,17,179,136,0,0,0,0,0,0,5,92,8,34,40,
18,15,36,3,7,6,22,4,5,4,13,163,135,0,0,0,0,0,0,9,108,8,34,40,
19,3,8,1,2,2,4,1,2,-1,12,161,134,0,0,0,0,0,0,10,111,8,34,40,
20,9,22,2,6,4,11,2,4,2,8,154,132,0,0,0,0,0,0,14,119,8,34,40,
21,2,4,0,1,1,2,0,1,1,8,153,131,0,0,0,1,0,0,14,120,8,34,40,
