clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,CPU_time
16,7,7,1,1,2,2,1,1,6,18,7,61,0,0,0,0,0,0,
17,42,12,3,0,4,4,9,1,33,21,7,69,0,0,0,0,0,0,
18,8,74,2,6,2,19,2,6,45,16,0,65,1,0,0,0,10,0,
19,4,4,1,1,1,1,1,1,2,16,0,65,0,0,0,0,0,0,
20,16,16,3,3,5,5,3,3,10,16,0,65,0,0,0,0,0,0,
21,3,3,1,1,1,1,1,1,0,16,0,65,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,16,0,65,0,0,0,0,0,0,
23,18,18,4,4,5,5,4,4,10,16,0,65,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,16,0,65,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,16,0,65,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,16,0,65,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,16,0,65,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,16,0,65,0,0,0,0,0,0,
5,4,4,1,1,1,1,1,1,2,16,0,65,0,0,0,0,0,0,
6,34,0,3,0,9,0,3,0,19,19,9,68,0,0,0,0,0,0,
7,18,0,5,0,0,0,1,0,12,22,9,69,2,0,0,0,0,0,
8,20,20,4,4,6,6,4,4,12,18,9,69,4,0,0,0,0,0,
9,19,19,4,4,6,6,4,4,10,18,9,69,0,0,0,0,0,0,
10,6,6,1,1,2,2,1,1,4,18,9,69,0,0,0,0,0,0,
11,11,11,2,2,3,3,2,2,8,18,9,69,0,0,0,0,0,0,
12,1,1,0,0,0,0,0,0,2,18,9,69,0,0,0,0,0,0,
13,7,7,1,1,2,2,1,1,6,18,9,69,0,0,0,0,0,0,
14,15,15,3,3,4,4,3,3,10,18,9,69,0,0,0,0,0,0,
15,9,9,2,2,3,3,2,2,4,18,9,69,0,0,0,0,0,0,
16,10,10,2,2,3,3,2,2,6,18,9,69,0,0,0,0,0,0,
17,47,13,3,0,5,5,10,1,36,21,9,78,0,0,0,0,0,0,
18,5,54,1,5,2,14,1,5,31,17,0,74,0,0,0,0,3,0,
19,5,5,1,1,2,2,1,1,2,17,0,74,0,0,0,0,0,0,
20,17,17,3,3,5,5,3,3,12,17,0,74,0,0,0,0,0,0,
21,6,6,1,1,2,2,1,1,4,17,0,74,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,17,0,74,0,0,0,0,0,0,
23,10,10,2,2,3,3,2,2,6,17,0,74,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,17,0,74,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,17,0,74,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,17,0,74,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,17,0,74,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,17,0,74,0,0,0,0,0,0,
5,5,5,1,1,2,2,1,1,2,17,0,74,0,0,0,0,0,0,
6,18,0,2,0,5,0,2,0,9,19,5,76,0,0,0,0,0,0,
7,22,0,6,0,0,0,1,0,15,22,5,77,3,0,0,0,0,0,
8,19,19,4,4,6,6,4,4,10,18,5,77,4,0,0,0,0,0,
9,15,15,3,3,4,4,3,3,10,18,5,77,0,0,0,0,0,0,
10,7,7,1,1,2,2,1,1,6,18,5,77,0,0,0,0,0,0,
11,7,7,1,1,2,2,1,1,6,18,5,77,0,0,0,0,0,0,
12,1,1,0,0,0,0,0,0,2,18,5,77,0,0,0,0,0,0,
13,6,6,1,1,2,2,1,1,4,18,5,77,0,0,0,0,0,0,
